article_id,article_type,published_at,slug
2703,2,14/01/2016 1:00,the-best-photo-organization-apps-for-iphone-and-ipad
11771,2,17/01/2016 1:13,best-ipad-apps-for-voice-recording
2410,2,17/01/2016 5:00,the-best-file-managers-for-iphone-and-ipad
10709,2,18/01/2016 3:00,best-animation-apps-for-iphone-and-ipad
2526,2,20/01/2016 3:00,the-best-grocery-list-apps-for-iphone-and-ipad
4620,2,21/01/2016 11:37,the-best-video-editing-apps-for-iphone
8403,2,22/01/2016 3:00,the-best-ipad-apps-for-learning-guitar
2409,2,24/01/2016 1:00,best-reminder-apps-for-iphone
7573,2,25/01/2016 2:00,the-best-iphone-apps-for-singers
2567,2,27/01/2016 2:59,the-best-mileage-tracking-apps-for-iphone-and-ipad
